Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff
AUDI,R8,TWO-SEATER,4.2,8,A7,Petrol,17.6,11.0,14.6,19,336,1.0,11.0,6.600000000000001
AUDI,R8,TWO-SEATER,5.2,10,A7,Petrol,18.2,10.6,14.8,19,347,1.0,10.6,7.6
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Petrol,17.6,11.0,14.6,19,336,1.0,11.0,6.600000000000001
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Petrol,18.2,10.6,14.8,19,347,1.0,10.6,7.6
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Petrol,15.3,10.9,13.3,21,306,1.0,10.9,4.4
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Petrol,15.2,11.3,13.4,21,308,1.0,11.3,3.8999999999999986
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Petrol,15.5,8.8,12.5,23,293,1.0,8.8,6.699999999999999
AUDI,S4,COMPACT,3.0,6,A7,Petrol,13.2,9.2,11.4,25,262,1.0,9.2,4.0
AUDI,S5,SUBCOMPACT,3.0,6,A7,Petrol,13.2,9.2,11.4,25,262,1.0,9.2,4.0
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Petrol,13.3,9.5,11.6,24,267,1.0,9.5,3.8000000000000007
AUDI,S6,MID-SIZE,4.0,8,A7,Petrol,14.2,9.7,12.2,23,281,1.0,9.7,4.5
AUDI,S7,MID-SIZE,4.0,8,A7,Petrol,14.2,9.7,12.2,23,281,1.0,9.7,4.5
AUDI,S8,MID-SIZE,4.0,8,AS8,Petrol,15.8,9.2,12.8,22,300,1.0,9.2,6.600000000000001
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Petrol,14.9,10.1,12.7,22,292,1.0,10.1,4.800000000000001
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Petrol,10.4,7.6,9.1,31,209,1.0,7.6,2.8000000000000007
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Petrol,10.4,7.6,9.1,31,209,1.0,7.6,2.8000000000000007
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Petrol,11.5,8.8,10.3,27,237,1.0,8.8,2.6999999999999993
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Petrol,11.5,8.8,10.3,27,237,1.0,8.8,2.6999999999999993
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Petrol,16.3,9.8,13.4,21,314,1.0,9.8,6.5
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Petrol,18.8,11.5,15.5,18,356,1.0,11.5,7.300000000000001
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Petrol,17.4,10.2,14.2,20,332,1.0,10.2,7.199999999999999
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Petrol,20.0,12.2,16.5,17,380,1.0,12.2,7.800000000000001
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Petrol,20.0,12.2,16.5,17,380,1.0,12.2,7.800000000000001
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Petrol,20.3,11.9,16.5,17,388,1.0,11.9,8.4
BMW,320i,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Petrol,10.2,7.0,8.8,32,202,1.0,7.0,3.1999999999999993
BMW,328d xDRIVE,COMPACT,2.0,4,A8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.0999999999999996
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.0999999999999996
BMW,328i,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,335i,COMPACT,3.0,6,A8,Petrol,11.4,7.3,9.6,29,221,1.0,7.3,4.1000000000000005
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Petrol,11.7,7.8,9.9,29,228,1.0,7.8,3.8999999999999995
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9000000000000004
BMW,428i COUPE,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,435i COUPE,COMPACT,3.0,6,A8,Petrol,11.4,7.3,9.6,29,221,1.0,7.3,4.1000000000000005
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Petrol,11.7,7.8,9.9,29,228,1.0,7.8,3.8999999999999995
BMW,528i,MID-SIZE,2.0,4,A8,Petrol,10.2,7.0,8.8,32,202,1.0,7.0,3.1999999999999993
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,Diesel,9.2,6.4,7.9,36,213,0.9,6.4,2.799999999999999
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9000000000000004
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Petrol,12.5,8.6,10.7,26,246,1.0,8.6,3.9000000000000004
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Petrol,14.4,9.6,12.2,23,281,1.0,9.6,4.800000000000001
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9000000000000004
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Petrol,14.4,9.6,12.2,23,281,1.0,9.6,4.800000000000001
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Petrol,12.5,8.6,10.7,26,246,1.0,8.6,3.9000000000000004
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,760Li,FULL-SIZE,6.0,12,A8,Petrol,18.7,11.5,15.5,18,356,1.0,11.5,7.199999999999999
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Petrol,9.2,7.1,8.3,34,191,1.0,7.1,2.0999999999999996
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Petrol,10.5,7.9,9.3,30,214,1.0,7.9,2.5999999999999996
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Petrol,10.5,7.6,9.2,31,212,1.0,7.6,2.9000000000000004
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Petrol,13.2,8.9,11.3,25,260,1.0,8.9,4.299999999999999
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Petrol,11.2,8.5,10.0,28,230,1.0,8.5,2.6999999999999993
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Petrol,12.6,9.1,11.0,26,253,1.0,9.1,3.5
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Petrol,12.9,8.8,11.1,25,255,1.0,8.8,4.1
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Petrol,16.3,10.9,13.9,20,320,1.0,10.9,5.4
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Petrol,18.1,13.7,16.1,18,370,1.0,13.7,4.400000000000002
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Petrol,13.6,9.8,11.9,24,274,1.0,9.8,3.799999999999999
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Petrol,16.4,11.3,14.1,20,324,1.0,11.3,5.099999999999998
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Petrol,10.8,7.1,9.1,31,209,1.0,7.1,3.700000000000001
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Petrol,14.3,9.9,12.3,23,283,1.0,9.9,4.4
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,1.0,10.2,4.4
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,Petrol,9.5,7.2,8.5,33,196,1.0,7.2,2.3
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,Petrol,10.2,8.0,9.2,31,212,1.0,8.0,2.1999999999999993
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Petrol,13.7,8.7,11.5,25,264,1.0,8.7,5.0
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Electric,18.4,12.2,15.6,18,250,0.8,12.2,6.199999999999999
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Petrol,13.7,8.9,11.5,25,264,1.0,8.9,4.799999999999999
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Electric,19.4,13.0,16.5,17,264,0.8,13.0,6.399999999999999
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.0999999999999996
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.5999999999999996
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Petrol,12.3,8.7,10.7,26,246,1.0,8.7,3.6000000000000014
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.0999999999999996
BUICK,VERANO,COMPACT,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.5999999999999996
BUICK,VERANO,COMPACT,2.4,4,AS6,Petrol,11.3,7.4,9.5,30,218,1.0,7.4,3.9000000000000004
CADILLAC,ATS,COMPACT,2.0,4,AS6,Petrol,11.3,7.5,9.6,29,221,1.0,7.5,3.8000000000000007
CADILLAC,ATS,COMPACT,2.5,4,AS6,Petrol,10.5,7.2,9.0,31,207,1.0,7.2,3.3
CADILLAC,ATS,COMPACT,3.6,6,AS6,Petrol,12.8,8.5,10.9,26,251,1.0,8.5,4.300000000000001
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Petrol,11.8,8.1,10.1,28,232,1.0,8.1,3.700000000000001
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,1.0,9.0,4.1
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,1.0,8.7,4.5
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,1.0,9.0,4.300000000000001
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Petrol,11.9,7.9,10.1,28,232,1.0,7.9,4.0
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,Petrol,12.9,8.2,10.8,26,248,1.0,8.2,4.700000000000001
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Petrol,12.6,8.5,10.8,26,248,1.0,8.5,4.1
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,1.0,9.0,4.1
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Petrol,15.1,9.9,12.8,22,294,1.0,9.9,5.199999999999999
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,Petrol,12.7,8.9,11.0,26,253,1.0,8.9,3.799999999999999
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,Petrol,13.3,8.9,11.3,25,260,1.0,8.9,4.4
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,Petrol,12.8,9.1,11.1,25,255,1.0,9.1,3.700000000000001
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,1.0,9.0,4.300000000000001
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Petrol,17.0,11.8,14.7,19,338,1.0,11.8,5.199999999999999
