Model,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff,Make_ALFA ROMEO,Make_ASTON MARTIN,Make_AUDI,Make_BENTLEY,Make_BMW,Make_BUICK,Make_CADILLAC,Make_CHEVROLET,Make_CHRYSLER,Make_DODGE,Make_FIAT,Make_FORD,Make_GENESIS,Make_GMC,Make_HONDA,Make_HYUNDAI,Make_INFINITI,Make_JAGUAR,Make_JEEP,Make_KIA,Make_LAMBORGHINI,Make_LAND ROVER,Make_LEXUS,Make_LINCOLN,Make_MAHINDRA,Make_MARUTI SUZUKI,Make_MASERATI,Make_MAZDA,Make_MERCEDES-BENZ,Make_MINI,Make_MITSUBISHI,Make_NISSAN,Make_PORSCHE,Make_RAM,Make_ROLLS-ROYCE,Make_SCION,Make_SMART,Make_SUBARU,Make_TOYOTA,Make_VOLKSWAGEN,Make_VOLVO,Vehicle Class_FULL-SIZE,Vehicle Class_MID-SIZE,Vehicle Class_MINICOMPACT,Vehicle Class_MINIVAN,Vehicle Class_PICKUP TRUCK - SMALL,Vehicle Class_PICKUP TRUCK - STANDARD,Vehicle Class_SPECIAL PURPOSE VEHICLE,Vehicle Class_STATION WAGON - MID-SIZE,Vehicle Class_STATION WAGON - SMALL,Vehicle Class_SUBCOMPACT,Vehicle Class_SUV - SMALL,Vehicle Class_SUV - STANDARD,Vehicle Class_TWO-SEATER,Vehicle Class_VAN - CARGO,Vehicle Class_VAN - PASSENGER,Transmission_A4,Transmission_A5,Transmission_A6,Transmission_A7,Transmission_A8,Transmission_A9,Transmission_AM5,Transmission_AM6,Transmission_AS10,Transmission_AS4,Transmission_AS5,Transmission_AS6,Transmission_AS7,Transmission_AS8,Transmission_AS9,Transmission_AV,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol
200 FFV,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.7870295653222094,-0.36687962188498907,0.17037310598517982,235,0.31728441213690983,-0.7870295653222094,0.8528089733532139,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
200 FFV,0.23513401745081428,0.13662147215234835,1.064551476780656,0.38531769826048895,0.8315876659828142,-0.8077913721668296,218,-3.5094228558656875,0.38531769826048895,1.859271915738053,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
200 AWD,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.5164878891108176,-0.19063443249266507,-0.1091024592011086,246,0.31728441213690983,-0.5164878891108176,0.7186139143685691,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
200 AWD FFV,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.5164878891108176,-0.19063443249266507,-0.1091024592011086,246,0.31728441213690983,-0.5164878891108176,0.7186139143685691,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
200 AWD FFV,0.23513401745081428,0.13662147215234835,1.1820015284558811,0.7009496538404467,1.0078328553751381,-0.9475291547599739,226,-3.5094228558656875,0.7009496538404467,1.6579793272610837,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
300,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.6968490065850786,-0.33163058400652373,0.030635323392035615,237,0.31728441213690983,-0.6968490065850786,0.7186139143685686,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300 FFV,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.6968490065850786,-0.33163058400652373,0.030635323392035615,237,0.31728441213690983,-0.6968490065850786,0.7186139143685686,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300 FFV,0.23513401745081428,0.13662147215234835,1.1526390155370754,0.4754982569976201,0.9373347796182089,-0.9475291547599739,222,-3.5094228558656875,0.4754982569976201,1.9263694452303755,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
300 (MDS),1.795502005910114,1.2343078688152522,0.5653887571609483,0.024595463311966815,0.3733501735627722,-0.5283158069805413,283,0.31728441213690983,0.024595463311966815,1.2553941503071493,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300 AWD,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.29103649226799094,-0.1201363567357351,-0.1091024592011086,251,0.31728441213690983,-0.29103649226799094,0.3831262669069561,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300 AWD FFV,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.29103649226799094,-0.1201363567357351,-0.1091024592011086,251,0.31728441213690983,-0.29103649226799094,0.3831262669069561,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300 AWD FFV,0.23513401745081428,0.13662147215234835,1.299451580131107,1.1067621681575341,1.2545761205243922,-1.087266937353118,237,-3.5094228558656875,1.1067621681575341,1.322491679799473,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
TOWN & COUNTRY FFV,0.23513401745081428,0.13662147215234835,0.35985116672930356,0.11477602204909715,0.26760305992737754,-0.388578024387397,276,0.31728441213690983,0.11477602204909715,0.6515163848762456,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
TOWN & COUNTRY FFV,0.23513401745081428,0.13662147215234835,2.004151890182459,1.8282066380545798,1.959556878093688,-1.3667425025394064,269,-3.5094228558656875,1.8282066380545798,1.859271915738052,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CHALLENGER,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.6517587272165135,-0.33163058400652373,0.030635323392035615,237,0.31728441213690983,-0.6517587272165135,0.6515163848762462,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHALLENGER (MDS),1.795502005910114,1.2343078688152522,0.5653887571609483,0.024595463311966815,0.3733501735627722,-0.5283158069805413,283,0.31728441213690983,0.024595463311966815,1.2553941503071493,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHALLENGER (MDS),2.315624668729881,1.2343078688152522,0.8296513734302051,0.11477602204909715,0.5848444008335608,-0.6680535895736854,297,0.31728441213690983,0.11477602204909715,1.7250768567534072,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHALLENGER SRT (MDS),2.315624668729881,1.2343078688152522,0.8296513734302051,0.11477602204909715,0.5848444008335608,-0.6680535895736854,297,0.31728441213690983,0.11477602204909715,1.7250768567534072,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHALLENGER SRT HELLCAT,2.1670181936385187,1.2343078688152522,1.5049891705627514,0.6558593744718808,1.2193270826459268,-1.087266937353118,338,0.31728441213690983,0.6558593744718808,2.463149681168957,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER,0.23513401745081428,0.13662147215234835,0.24240111505407802,-0.15576565416229465,0.09135787053505356,-0.24884024179425282,264,0.31728441213690983,-0.15576565416229465,0.7857114438608903,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER FFV,0.23513401745081428,0.13662147215234835,0.24240111505407802,-0.15576565416229465,0.09135787053505356,-0.24884024179425282,264,0.31728441213690983,-0.15576565416229465,0.7857114438608903,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER FFV,0.23513401745081428,0.13662147215234835,1.7105267609943957,1.4223941237374917,1.642315537187505,-1.2270047199462624,254,-3.5094228558656875,1.4223941237374917,1.7921743862457296,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CHARGER,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.6968490065850786,-0.33163058400652373,0.030635323392035615,237,0.31728441213690983,-0.6968490065850786,0.7186139143685686,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER FFV,0.23513401745081428,0.13662147215234835,-0.13931155289040426,-0.6968490065850786,-0.33163058400652373,0.030635323392035615,237,0.31728441213690983,-0.6968490065850786,0.7186139143685686,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER FFV,0.23513401745081428,0.13662147215234835,1.1526390155370754,0.4754982569976201,0.9373347796182089,-0.9475291547599739,222,-3.5094228558656875,0.4754982569976201,1.9263694452303755,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CHARGER (MDS),1.795502005910114,1.2343078688152522,0.8296513734302051,0.1598663014176623,0.5848444008335608,-0.6680535895736854,297,0.31728441213690983,0.1598663014176623,1.6579793272610848,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER (MDS),1.795502005910114,1.2343078688152522,0.5653887571609483,0.024595463311966815,0.3733501735627722,-0.5283158069805413,283,0.31728441213690983,0.024595463311966815,1.2553941503071493,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER AWD,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.29103649226799094,-0.1201363567357351,-0.1091024592011086,251,0.31728441213690983,-0.29103649226799094,0.3831262669069561,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER AWD FFV,0.23513401745081428,0.13662147215234835,-0.02186150121517875,-0.29103649226799094,-0.1201363567357351,-0.1091024592011086,251,0.31728441213690983,-0.29103649226799094,0.3831262669069561,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER AWD FFV,0.23513401745081428,0.13662147215234835,1.299451580131107,1.1067621681575341,1.2545761205243922,-1.087266937353118,237,-3.5094228558656875,1.1067621681575341,1.322491679799473,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CHARGER AWD (MDS),1.795502005910114,1.2343078688152522,0.9471014251054312,0.34022741889192376,0.7610895902258848,-0.8077913721668296,308,0.31728441213690983,0.34022741889192376,1.657979327261086,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER SRT 392 HEMI,2.315624668729881,1.2343078688152522,0.8296513734302051,0.11477602204909715,0.5848444008335608,-0.6680535895736854,297,0.31728441213690983,0.11477602204909715,1.7250768567534072,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHARGER SRT HELLCAT,2.1670181936385187,1.2343078688152522,1.5049891705627514,0.6558593744718808,1.2193270826459268,-1.087266937353118,338,0.31728441213690983,0.6558593744718808,2.463149681168957,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DART FFV,-0.9537177832800808,-0.9610649245105555,-0.8733743758605631,-1.0124809621650361,-0.9308642279404257,0.8690620189509008,198,0.31728441213690983,-1.0124809621650361,-0.48914161649323834,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DART FFV,-0.9537177832800808,-0.9610649245105555,0.12495106337885302,0.024595463311966815,0.09135787053505356,-0.24884024179425282,184,-3.5094228558656875,0.024595463311966815,0.24893120792231016,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DART,-0.6565048330973572,-0.9610649245105555,-0.8146493500229506,-1.1026615209021668,-0.9308642279404257,0.8690620189509008,198,0.31728441213690983,-1.1026615209021668,-0.22075149852394826,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DART GT,-0.6565048330973572,-0.9610649245105555,-0.6678367854289189,-0.7870295653222094,-0.7193700006696371,0.5895864537646125,212,0.31728441213690983,-0.7870295653222094,-0.3549465575085936,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DART TURBO AERO,-1.3995372085541666,-0.9610649245105555,-1.3138120696426585,-1.5084740352192545,-1.389101720360468,1.7074887145097661,168,0.31728441213690983,-1.5084740352192545,-0.7575317344625291,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
DURANGO AWD FFV,0.23513401745081428,0.13662147215234835,0.30112614089169104,0.25004686015479344,0.3028520978058422,-0.5283158069805413,278,0.31728441213690983,0.25004686015479344,0.31602873741463255,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DURANGO AWD FFV,0.23513401745081428,0.13662147215234835,1.416901631806332,1.6929357999488837,1.5365684235521102,-1.2270047199462624,250,-3.5094228558656875,1.6929357999488837,0.7186139143685679,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DURANGO AWD (MDS),1.795502005910114,1.2343078688152522,1.299451580131107,1.0165816094204037,1.2193270826459268,-1.087266937353118,338,0.31728441213690983,1.0165816094204037,1.4566867387841176,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GRAND CARAVAN FFV,0.23513401745081428,0.13662147215234835,0.24240111505407802,0.06968574268053199,0.19710498417044822,-0.388578024387397,271,0.31728441213690983,0.06968574268053199,0.4502237963992773,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
GRAND CARAVAN FFV,0.23513401745081428,0.13662147215234835,1.8573393255884274,1.738026079317449,1.8185607265798283,-1.3667425025394064,262,-3.5094228558656875,1.738026079317449,1.6579793272610848,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
JOURNEY,-0.6565048330973572,-0.9610649245105555,-0.051224014133985515,-0.06558509542516432,-0.049638280978805745,-0.24884024179425282,255,0.31728441213690983,-0.06558509542516432,-0.01945891004698054,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
JOURNEY FFV,0.23513401745081428,0.13662147215234835,0.38921367964810977,0.06968574268053199,0.3028520978058422,-0.5283158069805413,278,0.31728441213690983,0.06968574268053199,0.7857114438608903,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
JOURNEY FFV,0.23513401745081428,0.13662147215234835,1.7692517868320081,1.6478455205803184,1.748062650822899,-1.3667425025394064,259,-3.5094228558656875,1.6478455205803184,1.5908817977687613,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
JOURNEY AWD,0.23513401745081428,0.13662147215234835,0.47730121840452905,0.2951371395233586,0.4085992114412369,-0.5283158069805413,285,0.31728441213690983,0.2951371395233586,0.6515163848762456,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
500 CABRIO,-1.3995372085541666,-0.9610649245105555,-1.2257245308862397,-1.0575712415336012,-1.177607493089679,1.2882753667303335,182,0.31728441213690983,-1.0575712415336012,-1.2272144409087882,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
500 HATCHBACK,-1.3995372085541666,-0.9610649245105555,-1.2257245308862397,-1.0575712415336012,-1.177607493089679,1.2882753667303335,182,0.31728441213690983,-1.0575712415336012,-1.2272144409087882,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
500 HATCHBACK TURBO,-1.3995372085541666,-0.9610649245105555,-0.9614619146169824,-0.8772101240593402,-0.9308642279404257,0.8690620189509008,198,0.31728441213690983,-0.8772101240593402,-0.8917267934471744,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
500 ABARTH CABRIO,-1.3995372085541666,-0.9610649245105555,-0.9614619146169824,-0.8772101240593402,-0.9308642279404257,0.8690620189509008,198,0.31728441213690983,-0.8772101240593402,-0.8917267934471744,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
500 ABARTH HATCHBACK,-1.3995372085541666,-0.9610649245105555,-0.9614619146169824,-0.8772101240593402,-0.9308642279404257,0.8690620189509008,198,0.31728441213690983,-0.8772101240593402,-0.8917267934471744,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
