Model,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff,Make_ALFA ROMEO,Make_ASTON MARTIN,Make_AUDI,Make_BENTLEY,Make_BMW,Make_BUICK,Make_CADILLAC,Make_CHEVROLET,Make_CHRYSLER,Make_DODGE,Make_FIAT,Make_FORD,Make_GENESIS,Make_GMC,Make_HONDA,Make_HYUNDAI,Make_INFINITI,Make_JAGUAR,Make_JEEP,Make_KIA,Make_LAMBORGHINI,Make_LAND ROVER,Make_LEXUS,Make_LINCOLN,Make_MAHINDRA,Make_MARUTI SUZUKI,Make_MASERATI,Make_MAZDA,Make_MERCEDES-BENZ,Make_MINI,Make_MITSUBISHI,Make_NISSAN,Make_PORSCHE,Make_RAM,Make_ROLLS-ROYCE,Make_SCION,Make_SMART,Make_SUBARU,Make_TOYOTA,Make_VOLKSWAGEN,Make_VOLVO,Vehicle Class_FULL-SIZE,Vehicle Class_MID-SIZE,Vehicle Class_MINICOMPACT,Vehicle Class_MINIVAN,Vehicle Class_PICKUP TRUCK - SMALL,Vehicle Class_PICKUP TRUCK - STANDARD,Vehicle Class_SPECIAL PURPOSE VEHICLE,Vehicle Class_STATION WAGON - MID-SIZE,Vehicle Class_STATION WAGON - SMALL,Vehicle Class_SUBCOMPACT,Vehicle Class_SUV - SMALL,Vehicle Class_SUV - STANDARD,Vehicle Class_TWO-SEATER,Vehicle Class_VAN - CARGO,Vehicle Class_VAN - PASSENGER,Transmission_A4,Transmission_A5,Transmission_A6,Transmission_A7,Transmission_A8,Transmission_A9,Transmission_AM5,Transmission_AM6,Transmission_AS10,Transmission_AS4,Transmission_AS5,Transmission_AS6,Transmission_AS7,Transmission_AS8,Transmission_AS9,Transmission_AV,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol
RAPIDE,1.9441084810014762,3.42968066214106,1.5049891705627514,1.5125746824746222,1.5365684235521102,-1.2270047199462624,359,0.31728441213690983,1.5125746824746222,1.188296620814827,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
VANQUISH,1.9441084810014762,3.42968066214106,1.5049891705627514,1.5125746824746222,1.5365684235521102,-1.2270047199462624,359,0.31728441213690983,1.5125746824746222,1.188296620814827,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
A4 QUATTRO,-0.9537177832800808,-0.9610649245105555,-0.40357416915966154,-0.5164878891108176,-0.4373776976419184,0.17037310598517982,230,0.31728441213690983,-0.5164878891108176,-0.1536539690316253,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A5 CABRIOLET QUATTRO,-0.9537177832800808,-0.9610649245105555,-0.40357416915966154,-0.5164878891108176,-0.4373776976419184,0.17037310598517982,230,0.31728441213690983,-0.5164878891108176,-0.1536539690316253,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A5 QUATTRO,-0.9537177832800808,-0.9610649245105555,-0.40357416915966154,-0.5164878891108176,-0.4373776976419184,0.17037310598517982,230,0.31728441213690983,-0.5164878891108176,-0.1536539690316253,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A6 QUATTRO,-0.9537177832800808,-0.9610649245105555,-0.2567616045656298,-0.5164878891108176,-0.36687962188498907,0.17037310598517982,235,0.31728441213690983,-0.5164878891108176,0.18183367842998777,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A6 QUATTRO,-0.21068540782327144,0.13662147215234835,-0.02186150121517875,-0.29103649226799094,-0.1201363567357351,-0.1091024592011086,251,0.31728441213690983,-0.29103649226799094,0.3831262669069561,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A6 QUATTRO TDI (modified),-0.21068540782327144,0.13662147215234835,-0.9027368887793693,-1.3732031971135585,-1.1071094173327496,1.1485375841371894,217,-1.5960692218643888,-1.3732031971135585,-0.019458910046979944,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A7 QUATTRO,-0.21068540782327144,0.13662147215234835,0.12495106337885302,-0.33612677163655613,-0.014389243100341075,-0.24884024179425282,262,0.31728441213690983,-0.33612677163655613,0.7857114438608915,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A7 QUATTRO TDI (modified),-0.21068540782327144,0.13662147215234835,-0.9027368887793693,-1.3732031971135585,-1.1071094173327496,1.1485375841371894,217,-1.5960692218643888,-1.3732031971135585,-0.019458910046979944,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A8,-0.21068540782327144,0.13662147215234835,0.06622603754124,-0.20085593353085981,-0.014389243100341075,-0.24884024179425282,258,0.31728441213690983,-0.20085593353085981,0.4502237963992773,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A8,0.532346967633538,1.2343078688152522,0.24240111505407802,-0.42630733037368645,0.020859794778124222,-0.24884024179425282,265,0.31728441213690983,-0.42630733037368645,1.1882966208148258,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A8 TDI (modified),-0.21068540782327144,0.13662147215234835,-0.9027368887793693,-1.2379323590078626,-1.0013623036973551,1.0087998015440451,224,-1.5960692218643888,-1.2379323590078626,-0.22075149852394768,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A8L,-0.21068540782327144,0.13662147215234835,0.06622603754124,-0.20085593353085981,-0.014389243100341075,-0.24884024179425282,258,0.31728441213690983,-0.20085593353085981,0.4502237963992773,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A8L,0.532346967633538,1.2343078688152522,0.5360262442421415,0.20495658078622747,0.44384824931970157,-0.5283158069805413,288,0.31728441213690983,0.20495658078622747,0.9199065028455363,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A8L,2.2413214311841996,3.42968066214106,1.7105267609943957,1.0165816094204037,1.5013193856736455,-1.2270047199462624,363,0.31728441213690983,1.0165816094204037,2.396052151676633,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A8L TDI (modified),-0.21068540782327144,0.13662147215234835,-0.9027368887793693,-1.2379323590078626,-1.0013623036973551,1.0087998015440451,224,-1.5960692218643888,-1.2379323590078626,-0.22075149852394768,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ALLROAD QUATTRO,-0.9537177832800808,-0.9610649245105555,-0.31548663040324226,-0.20085593353085981,-0.2611325082495944,0.030635323392035615,242,0.31728441213690983,-0.20085593353085981,-0.422044087000916,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Q5,-0.9537177832800808,-0.9610649245105555,-0.2567616045656298,-0.33612677163655613,-0.29638154612805906,0.030635323392035615,239,0.31728441213690983,-0.33612677163655613,-0.08655643953930292,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Q5,-0.21068540782327144,0.13662147215234835,0.007501011703627502,-0.020494816056599155,-0.014389243100341075,-0.24884024179425282,258,0.31728441213690983,-0.020494816056599155,0.047638619445343026,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Q5 TDI (modified),-0.21068540782327144,0.13662147215234835,-0.7852868371041444,-0.6517587272165135,-0.7898680764265664,0.5895864537646125,244,-1.5960692218643888,-0.6517587272165135,-0.824629263954852,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Q5 HYBRID,-0.9537177832800808,-0.9610649245105555,-0.8733743758605631,-0.42630733037368645,-0.7193700006696371,0.5895864537646125,212,0.31728441213690983,-0.42630733037368645,-1.3614094998934327,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Q7,-0.21068540782327144,0.13662147215234835,0.6534762959173671,0.7460399332090119,0.6905915144689548,-0.8077913721668296,304,0.31728441213690983,0.7460399332090119,0.3831262669069549,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Q7 TDI (modified),-0.21068540782327144,0.13662147215234835,-0.13931155289040426,-0.24594621289942578,-0.19063443249266507,-0.1091024592011086,290,-1.5960692218643888,-0.24594621289942578,0.047638619445343026,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R8,0.6809534427249,1.2343078688152522,1.3875391188875263,0.7911302125775771,1.1840780447674621,-1.087266937353118,336,0.31728441213690983,0.7911302125775771,1.993466974722699,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
R8,1.4239858181817096,2.3319942654781562,1.563714196400364,0.6107690951033156,1.2545761205243922,-1.087266937353118,347,0.31728441213690983,0.6107690951033156,2.664442269645924,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
R8 SPYDER,0.6809534427249,1.2343078688152522,1.3875391188875263,0.7911302125775771,1.1840780447674621,-1.087266937353118,336,0.31728441213690983,0.7911302125775771,1.993466974722699,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
R8 SPYDER,1.4239858181817096,2.3319942654781562,1.563714196400364,0.6107690951033156,1.2545761205243922,-1.087266937353118,347,0.31728441213690983,0.6107690951033156,2.664442269645924,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RS 5,0.6809534427249,1.2343078688152522,0.7122013217549801,0.7460399332090119,0.7258405523474202,-0.8077913721668296,306,0.31728441213690983,0.7460399332090119,0.5173213258916008,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RS 5 CABRIOLET,0.6809534427249,1.2343078688152522,0.6828388088361733,0.9264010506832734,0.7610895902258848,-0.8077913721668296,308,0.31728441213690983,0.9264010506832734,0.18183367842998657,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RS 7,0.532346967633538,1.2343078688152522,0.7709263475925926,-0.20085593353085981,0.44384824931970157,-0.5283158069805413,293,0.31728441213690983,-0.20085593353085981,2.0605645042150202,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
